Learning Rate,Hidden Layer Size,Lambda,Accuracy
0.001,50,0.001,0.2261
0.001,50,0.01,0.2261
0.001,50,0.1,0.2261
0.001,100,0.001,0.2884
0.001,100,0.01,0.2884
0.001,100,0.1,0.2884
0.001,150,0.001,0.3509
0.001,150,0.01,0.3509
0.001,150,0.1,0.3509
0.01,50,0.001,0.4662
0.01,50,0.01,0.4662
0.01,50,0.1,0.4662
0.01,100,0.001,0.5765
0.01,100,0.01,0.5765
0.01,100,0.1,0.5765
0.01,150,0.001,0.6004
0.01,150,0.01,0.6004
0.01,150,0.1,0.6004
0.1,50,0.001,0.7957
0.1,50,0.01,0.7957
0.1,50,0.1,0.7957
0.1,100,0.001,0.8004
0.1,100,0.01,0.8004
0.1,100,0.1,0.8004
0.1,150,0.001,0.8005
0.1,150,0.01,0.8005
0.1,150,0.1,0.8005
